num_agent: 100 algorithm: GREEDY trans_suc_rate: 0.75 num_episode: 31 num_state: 11 rewards: [0, 1, 0.9, 0.8, 0.7, 0.6, 0.5, 0.4, 0.3, 0.2, 0.1] density: [1.0, 0.2, 0.1, 0.1, 0.2, 0.05, 0.05, 0.2, 0.1, 0.0, 0.0] drop_ratio: 0.0 add_ratio: 1.0
0,45.6,16
1,97.8,45
2,154.2,67
3,205.0,97
4,257.3,126
5,303.6,161
6,353.6,186
7,412.1,207
8,466.1,232
9,517.3,263
10,571.6,291
11,630.4,311
12,678.9,344
13,732.0,369
14,787.1,391
15,840.7,417
16,893.8,445
17,949.4,470
18,1002.9,497
19,1059.2,520
20,1115.5,543
21,1168.5,570
22,1222.5,595
23,1272.2,625
24,1321.4,656
25,1377.3,680
26,1429.2,709
27,1481.7,739
28,1534.1,768
29,1586.2,797
